Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,192036444194214","-9,55948096237336E-08","0,0914570973778513",0,0,0,"157,597764258322","6,37361221695308","-1,82329745952805E-06","2,88880190579742","22,9341950778055","2,24724981951229E-06","25,4220678682299",0,0,0,0,0,0,package://PrimeChair/meshes/base_link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://PrimeChair/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF,0,0,"0,0375000000000001",0,0,0,"6,32107714591448","0,048351894425708","6,33495941251491E-19","8,44661255001988E-20","0,048351894425708","-4,22330627500996E-20","0,0907777790271211",0,0,0,0,0,0,package://PrimeChair/meshes/LF.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/LF.STL,,BigWheel-4,LF,Axis_LF_J,LF_J,continuous,"0,5215","0,257","-0,065","-1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
LB,0,0,"0,0375",0,0,0,"6,32107714591448","0,048351894425708","-2,06942007475487E-18","8,44661255001988E-20","0,048351894425708","-4,22330627500996E-20","0,0907777790271211",0,0,0,0,0,0,package://PrimeChair/meshes/LB.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/LB.STL,,BigWheel-2,LB,Axis_LB_J,LB_J,continuous,"-0,5215","0,257","-0,0650000000000002","-1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
RF,0,"1,38777878078145E-17","0,0375000000000001",0,0,0,"6,32107714591448","0,048351894425708","-1,45368476252277E-35","8,4466125500198E-20","0,048351894425708","-9,68935227477129E-35","0,0907777790271211",0,0,0,0,0,0,package://PrimeChair/meshes/RF.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/RF.STL,,BigWheel-3,RF,Axis_RF_J,RF_J,continuous,"0,5215","-0,257","-0,065","1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
RB,0,0,"0,0374999999999999",0,0,0,"6,32107714591448","0,048351894425708","5,42694856338777E-18","8,40794326924682E-18","0,0483518944257079","-7,88890775573904E-18","0,0907777790271211",0,0,0,0,0,0,package://PrimeChair/meshes/RB.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/RB.STL,,BigWheel-1,RB,Axis_RB_J,RB_J,continuous,"-0,5215","-0,257","-0,0649999999999998","1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
NLF,"0,00271571168468021","0,278470313824689","0,0242251960106987",0,0,0,"3,73195794065969","0,0978648811507753","-0,000889029991198783","4,65547571680366E-05","0,0067120107218082","0,00477374601720348","0,099425765381797",0,0,0,0,0,0,package://PrimeChair/meshes/NLF.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://PrimeChair/meshes/NLF.STL,,Noga-4,NLF,Axis_NLF_J,NLF_J,continuous,"0,5215","0,332","-0,065","1,5707963267949",0,"3,14159265358979",base_link,0,0,1,,,,,,,,,,,,
SLF,"1,11022302462516E-16",0,"0,04",0,0,0,"2,51603872440699","0,00917997695589261","-1,4403692952685E-36","2,89120579329467E-19","0,00917997695589261","-2,56608446149947E-35","0,0156761792724178",0,0,0,0,0,0,package://PrimeChair/meshes/SLF.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/SLF.STL,,SmallWheel-2,SLF,Axis_SLF_J,SLF_J,continuous,"0,00487589236332042","0,499976225108416",0,"3,14159265358979",0,"3,14159265358979",NLF,0,0,1,,,,,,,,,,,,
NLB,"0,00135737071007547","0,278480247623293","0,0242251960106988",0,0,0,"3,73195794065969","0,0978713852303183","-0,000444372031492282","2,32690620845553E-05","0,00670550664226537","0,00477391630979543","0,0994257653817971",0,0,0,0,0,0,package://PrimeChair/meshes/NLB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://PrimeChair/meshes/NLB.STL,,Noga-3,NLB,Axis_NLB_J,NLB_J,continuous,"-0,5215","0,332","-0,0650000000000002","1,5707963267949",0,"3,14159265358979",base_link,0,0,1,,,,,,,,,,,,
SLB,0,"-5,55111512312578E-17","0,04",0,0,0,"2,51603872440699","0,00917997695589261","-1,4403692952685E-36","2,89120579329467E-19","0,00917997695589261","-2,56608446149947E-35","0,0156761792724178",0,0,0,0,0,0,package://PrimeChair/meshes/SLB.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://PrimeChair/meshes/SLB.STL,,SmallWheel-1,SLB,Axis_SLB_J,SLB_J,continuous,"0,00243707515668445","0,499994060629405",0,"3,14159265358979",0,"3,14159265358979",NLB,0,0,1,,,,,,,,,,,,
NRF,0,"0,278483555657377","0,0242251960106987",0,0,0,"3,73195794065969","0,0978735511921236","1,82511641073461E-18","4,94720732004158E-19","0,00670334068045991","0,00477397301858538","0,099425765381797",0,0,0,0,0,0,package://PrimeChair/meshes/NRF.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://PrimeChair/meshes/NRF.STL,,Noga-2,NRF,Axis_NRF_J,NRF_J,continuous,"0,5215","-0,332","-0,065","1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
